station_co;Order;location_c;location_n;y_coord;x_coord;distance_t;Tributary;CumAreakkm2;Name;SUBID;HAROID;AREA;TARGETXlon;TARGETYlat;CENTERXlon;CENTERYlat;LATITUDE;LONGITUDE;POURYlat;POURXlong
JDS1;1;L;B??finger Halde;48.424194;10.027611;2581.000000;;8;JDS1_R;9605508;9600704;144722512;10.110900;48.455800;10.090800;48.395800;48.395800;10.090800;48.441670;10.145830
JDS2;2;L;Kelheim ?Çô gauging station;48.908742;11.901228;2415.000000;;26;JDS2_R;9608360;9600704;270654816;12.043800;49.004700;12.012500;48.900000;48.900000;12.012500;49.000000;12.037500
JDS3;3;L;Geisling power plant  (upstream, downstream);48.979150;12.332483;2365.000000;;36;JDS3_R;9614015;9600704;385524448;12.521800;48.911500;12.444200;49.005800;49.005800;12.444200;48.913630;12.520830
JDS4;4;L;Deggendorf;48.827000;12.954350;2285.000000;;38;JDS4_R;9603475;9600704;340604864;12.971800;48.803200;12.862500;48.875800;48.875800;12.862500;48.805250;12.979170
JDS5;5;L;M??hlau;48.685950;13.108833;2258.000000;;48;JDS5_R;9604275;9600704;161941872;13.146100;48.670600;13.210800;48.760800;48.760800;13.210800;48.658330;13.145830
JDS6;6;L;Jochenstein;48.527500;13.689783;2205.000000;;77;JDS6_R;9602104;9600704;216287984;13.830000;48.496600;13.720800;48.500000;48.500000;13.720800;48.445840;13.895830
JDS7;7;L;Upstream dam Abwinden-Asten;48.256433;14.416217;2121.000000;;84;JDS7_R;9603344;9600704;185980272;14.464600;48.244700;14.366700;48.229200;48.229200;14.366700;48.241660;14.445830
JDS8;8;L;Oberloiben;48.387203;15.545778;2007.000000;;96;JDS8_R;9604361;9600704;169332352;15.605100;48.402100;15.441700;48.385800;48.385800;15.441700;48.400000;15.603630
JDS9;9;L;Klostemeuburg;48.331317;16.330483;1942.000000;;101;JDS9_R;9603469;9600704;160028144;16.376900;48.266600;16.372500;48.370800;48.370800;16.372500;48.258340;16.375000
JDS10;10;L;Wildungsmauer;48.116583;16.803117;1895.000000;;104;JDS10_R;9600619;9600704;15876086;16.918800;48.154600;16.754600;48.125000;48.125000;16.754600;48.154167;16.912502
JDS11;11;L;Upstream Morava (Hainburg);48.166067;16.951383;1882.000000;;105;JDS11_R;9605445;9600704;56850080;16.971600;48.145000;16.840800;48.187500;48.187500;16.840800;48.166670;16.987500
