Label,X,Y
JDS1,10.027611,48.424194
JDS2,11.901228,48.908742
JDS3,12.3324,48.978167
JDS4,12.954067,48.826217
JDS5,13.107117,48.685767
JDS6,13.688983,48.526683
JDS7,14.41575,48.255283
JDS8,15.53335,48.384267
JDS9,16.329867,48.330117
JDS10,16.8033,48.11615
JDS11,16.95265,48.164983
JDS13,17.084,48.14
JDS14,17.230583,48.04025
JDS15,17.659767,47.789517
JDS17,17.843967,47.74265
JDS19,18.207233,47.742367
JDS20,18.863233,47.8134
JDS21,19.101767,47.616033
JDS22,19.004083,47.3883
JDS24,18.926317,46.817067
JDS25,18.880417,46.633733
JDS26,18.9235,46.200533
JDS27,18.805933,45.91455
JDS28,18.914483,45.555367
JDS30,19.076783,45.528633
JDS31,19.3606,45.231583
JDS32,19.8013,45.221717
JDS33,19.88575,45.26105
JDS34,20.258917,45.147483
JDS36,20.365,45.0175
JDS38,20.574033,44.849433
JDS39,20.644433,44.814467
JDS40,21.003517,44.719667
JDS42,21.122817,44.73335
JDS43,21.3838,44.8051
JDS44,21.686233,44.664567
JDS45,22.401733,44.68865
JDS46,22.706717,44.604617
JDS47,22.684983,44.260917
JDS49,22.782167,44.1723
JDS50,23.89745,43.74865
JDS52,24.8062,43.7105
JDS53,25.401083,43.619583
JDS55,25.617767,43.671017
JDS57,26.01485,43.889583
JDS59,26.654267,44.06195
JDS60,27.235067,44.115933
JDS61,27.8636,44.776117
JDS62,27.997217,45.300817
JDS65,28.260133,45.4563
JDS66,29.5814,45.39455
JDS67,28.959383,45.194
JDS68,28.9067,45.159367
