City,Longitude,Latitude
Stuttgart,9.183927594,48.77709028
Wiesbaden,8.244613451,50.08070225
Frankfurt,8.683677388,50.10951902
Basel,7.597862484,47.56953121
Zuerich,8.544922852,47.37072762
Bregenz,9.745282041,47.50379084
Strassbourg,7.752401212,48.57385998
Metz,6.183143129,49.12014206
Saarbruecken,7.002157947,49.2446277
Luxembourg,6.131232278,49.61181086
Mainz,8.249915469,49.99292598
Dortmund,7.465163515,51.51431189
Essen,7.011937602,51.45379431
Duesseldorf,6.776352448,51.22890036
Koeln,6.95875814,50.93876206
Lobith,6.119,51.862
Rotterdam,4.478,51.925
Karlsruhe,8.405,49.007
Mannheim,8.469,49.487
Freiburg,7.846,48.000
Neurenberg,11.078,49.451
