station_code;location_code;location_name;country_code;country_code_border;y_coord;x_coord;y_coord_end;x_coord_end;catchment;altitude;distance_to_mouth;distance_to_mouth_end;river;remark
JDS1;L;Böfinger Halde;DE;;48.424194;10.027611;;;;;2581;;;
JDS1;M;Böfinger Halde;DE;;;;;;;;;;;
JDS1;R;Böfinger Halde;DE;;48.423056;10.026833;;;;;2581;;;
JDS2;L;Kelheim – gauging station;DE;;48.90874167;11.90122778;;;;;2415;;;
JDS2;M;Kelheim – gauging station;DE;;;;;;;;;;;
JDS2;R;Kelheim – gauging station;DE;;48.908794;11.901972;;;;;2415;;;
JDS3;L;Geisling power plant  (upstream, downstream);DE;;48.979150;12.332483;;;;;2365;;;
JDS3;M;Geisling power plant  (upstream, downstream);DE;;48.978167;12.332400;;;;;2365;;;
JDS3;R;Geisling power plant  (upstream, downstream);DE;;48.943333;12.332900;;;;;2365;;;
JDS4;L;Deggendorf;DE;;48.827000;12.954350;;;;;2285;;;
JDS4;M;Deggendorf;DE;;48.826217;12.954067;;;;;2285;;;
JDS4;R;Deggendorf;DE;;48.825950;12.953617;;;;;2285;;;
JDS5;L;Mühlau;DE;;48.685950;13.108833;;;;;2258;;;
JDS5;M;Mühlau;DE;;48.685767;13.107117;;;;;2258;;;
JDS5;R;Mühlau;DE;;48.67833056;13.112833;;;;;2258;;;
JDS6;L;Jochenstein;DE;AT;48.527500;13.689783;;;;;2205;;;
JDS6;M;Jochenstein;DE;AT;48.526683;13.688983;;;;;2205;;;
JDS6;R;Jochenstein;DE;AT;48.525717;13.688233;;;;;2205;;;
JDS7;L;Upstream dam Abwinden-Asten;AT;;48.256433;14.416217;;;;;2121;;;
JDS7;M;Upstream dam Abwinden-Asten;AT;;48.255283;14.41575;;;;;2121;;;
JDS7;R;Upstream dam Abwinden-Asten;AT;;48.254150;14.415883;;;;;2121;;;
JDS8;L;Oberloiben;AT;;48.38720278;15.54577778;;;;;2007;;;
JDS8;M;Oberloiben;AT;;48.384267;15.533350;;;;;2007;;;
JDS8;R;Oberloiben;AT;;48.383350;15.536950;;;;;2007;;;
JDS9;L;Klostemeuburg;AT;;48.331317;16.330483;;;;;1942;;;
JDS9;M;Klostemeuburg;AT;;48.330117;16.329867;;;;;1942;;;
JDS9;R;Klostemeuburg;AT;;48.330483;16.327867;;;;;1942;;;
JDS10;L;Wildungsmauer;AT;;48.116583;16.803117;;;;;1895;;;
JDS10;M;Wildungsmauer;AT;;48.116150;16.803300;;;;;1895;;;
JDS10;R;Wildungsmauer;AT;;48.115083;16.801483;;;;;1895;;;
JDS11;L;Upstream Morava (Hainburg);AT;;48.166067;16.951383;;;;;1882;;;
JDS11;M;Upstream Morava (Hainburg);AT;;48.164983;16.952650;;;;;1882;;;
JDS11;R;Upstream Morava (Hainburg);AT;;48.164833;16.954117;;;;;1882;;;
JDS12;L;/Morava (rkm 0.08);AT;SK;48.177544;16.976111;;;;;1880;;;
