Row Labels;JDS1;JDS10;JDS11;JDS12;JDS13;JDS14;JDS15;JDS16;JDS17;JDS18;JDS19;JDS2;JDS20;JDS21;JDS22;JDS23;JDS24;JDS25;JDS26;JDS27;JDS28;JDS29;JDS3;JDS30;JDS31;JDS32;JDS33;JDS34;JDS35;JDS36;JDS37;JDS38;JDS39;JDS4;JDS40;JDS41;JDS42;JDS43;JDS44;JDS45;JDS46;JDS47;JDS48;JDS49;JDS5;JDS50;JDS51;JDS52;JDS53;JDS54;JDS55;JDS56;JDS57;JDS58;JDS59;JDS6;JDS60;JDS61;JDS62;JDS63;JDS64;JDS65;JDS66;JDS67;JDS68;JDS7;JDS8;JDS9
1002-53-5;;;0.0001;;;0.0002;0.0002;0.0001;0.0002;;0.0002;0.0002;;;;;;;;;0.0002;0.0002;0.0002;;0.0002;;;;;;0.0002;;;;0.0002;;;;;;;;0.0002;;;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;;0.0001;0.0001;0.0002;;0.0001;0.0002;0.0002;0.0002;;0.0002;;
1007-28-9;0.01054;0.02;0.01527;0.01054;0.02;0.02;0.02;0.00108;0.02;0.01054;0.01527;0.01508;0.01527;0.01527;0.01527;0.01054;0.02;0.01527;0.01527;0.01527;0.013693333;0.013693333;0.01527;0.01527;0.013693333;0.01527;0.01527;0.01527;0.013693333;0.01527;0.013693333;0.01527;0.01527;0.02;0.01527;0.01054;0.01527;0.02;0.02;0.01527;0.01527;0.02;0.01054;0.01527;0.01527;0.02;0.02;0.02;0.02;0.01054;0.01527;0.01054;0.01527;0.01054;0.01527;0.01527;0.01527;0.01527;0.013693333;0.01527;0.01054;0.013693333;0.01527;0.013693333;0.01527;0.02;0.01527;0.013693333
104-40-5;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;0.01;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
1066-51-9;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;
1071-83-6;0.03;0.03;0.03;0.045;0.045;0.03;0.045;0.03;0.045;0.03;0.03;0.045;0.03;0.045;0.03;0.045;0.045;0.03;0.045;0.03;0.045;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.045;0.03;0.03;0.03;0.045;0.03;0.03;0.03;0.03;0.03;0.03;0.045;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.045;0.03;0.045;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03
1135-99-5;0.0001;0.0001;0.0001;;0.0001;0.0001;0.0002;0.0001;0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001
115-86-6;;;;;;;;;;;;;;;;;;;;;;;;;;0.00001;;;;0.00001;0.00001;0.00001;;;0.00001;;;;;;0.00001;;0.00001;;;;0.00001;;;;0.00001;;;;;;;0.00001;;0.00001;;0.00001;;;0.00001;;0.00001;
117-81-7;0.2;0.2;;;;;;;0.2;;;;;0.2;0.2;0.2;;;;0.2;;0.2;;0.2;0.2;;0.2;0.2;0.2;0.2;0.2;;;;0.2;;;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;0.2;0.2;;;;;;0.2;0.2;;0.2;0.2;0.2;0.2;0.2;0.2;;0.2;0.2;;0.2
120-12-7;;;0.002;0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;;;;;;;;;;;;;;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;;0.002;0.002
120-32-1;0.5;0.5;0.5;0.5;0.5;;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5
1231244-60-2;0.025;0.025;0.025;;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
1241-94-7;0.00023;0.00023;;;0.00023;0.00023;;;;;;;0.00023;;;;;0.00023;0.00023;;;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;;0.00023;0.00023;0.00023;;;0.00023;0.00023;0.00023;;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023;0.00023
124495-18-7;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
126-73-8;;;;;;;;;;;;;;;;;;;;;;0.0000085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1330-78-5;0.0002;0.0002;0.00023;0.00023;0.0002;0.0002;;;0.0002;0.0002;0.00023;;0.0002;0.00023;;;;0.0002;0.0002;0.00017;0.0002;0.0002;0.0002;0.0002;0.0002;0.00017;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.00017;0.00023;0.00017;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.0002;0.00017;0.0002
134-62-3;0.025;0.025;0.025;;0.025;0.025;0.025;0.025;0.025;0.05;0.025;0.025;0.025;0.025;0.025;;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
13674-87-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0008;;;;;;;
136-85-6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;0.01;;;;;;;
14089-52-2;;;;0.001;;;;0.001;;;;;;;;;0.001;0.001;;;;;;;;;;;0.001;;;;;;;;;;;;;;;;;;;0.001;0.003;;0.001;;;;;;;;;;;;;;;;;
1461-25-2;;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000002;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;0.0000001;;0.0000001;0.0000001
14797-65-0;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;;0.015;0.015;0.015;0.015;0.015;;0.015;;0.015;0.015;0.015;0.015;0.015;0.015;0.015;;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015
14798-03-9;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;0.048;;0.048;0.048;0.048;0.048;0.048;0.048;;;;0.048;0.048;0.048;0.048;;0.048;0.048;0.048;0.048;0.048;0.048;;0.048;0.048;0.048;;0.048;0.048;0.048;0.048;;0.048;0.048;;0.048;;;0.048;0.048;0.048
152019-73-3;0.025;0.025;0.025;0.05;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025
